iter	Passed	Remaining
0	10	10313
1	19	9678
2	27	9206
3	36	9003
4	44	8784
5	52	8645
6	57	8122
7	62	7734
8	70	7770
9	78	7793
10	85	7701
11	94	7749
12	102	7784
13	111	7828
14	119	7850
15	128	7882
16	136	7907
17	145	7918
18	153	7926
19	162	7939
20	170	7927
21	178	7936
22	186	7932
23	195	7935
24	203	7932
25	211	7928
26	219	7921
27	232	8054
28	243	8139
29	253	8208
30	264	8263
31	273	8285
32	284	8347
33	297	8465
34	307	8472
35	317	8510
36	325	8483
37	334	8461
38	344	8477
39	352	8450
40	360	8435
41	368	8410
42	377	8399
43	385	8382
44	393	8357
45	402	8339
46	410	8316
47	417	8287
48	426	8269
49	434	8246
50	444	8269
51	454	8279
52	462	8255
53	470	8242
54	478	8224
55	486	8208
56	494	8187
57	503	8170
58	511	8152
59	518	8128
60	528	8132
61	537	8130
62	545	8119
63	554	8112
64	563	8100
65	573	8113
66	581	8097
67	589	8085
68	597	8065
69	606	8053
70	614	8036
71	622	8017
72	630	8006
73	638	7987
74	647	7986
75	655	7972
76	663	7958
77	671	7942
78	680	7930
79	688	7915
80	697	7911
81	705	7896
82	713	7883
83	721	7870
84	730	7862
85	738	7853
86	747	7842
87	757	7849
88	766	7845
89	775	7842
90	784	7837
91	793	7830
92	801	7820
93	810	7813
94	819	7803
95	826	7784
96	835	7778
97	844	7773
98	853	7765
99	861	7757
100	870	7749
101	879	7744
102	888	7733
103	896	7725
104	905	7716
105	914	7710
106	923	7711
107	934	7717
108	943	7712
109	954	7720
110	963	7717
111	973	7718
112	983	7719
113	994	7726
114	1003	7720
115	1013	7724
116	1022	7715
117	1030	7699
118	1038	7685
119	1045	7667
120	1054	7659
121	1062	7645
122	1073	7653
123	1083	7654
124	1098	7686
125	1106	7673
126	1115	7669
127	1124	7657
128	1132	7645
129	1140	7633
130	1149	7623
131	1159	7623
132	1168	7615
133	1177	7609
134	1186	7599
135	1194	7588
136	1202	7572
137	1210	7562
138	1219	7555
139	1228	7545
140	1235	7525
141	1242	7505
142	1249	7486
143	1256	7467
144	1263	7449
145	1270	7429
146	1277	7410
147	1283	7391
148	1291	7374
149	1300	7367
150	1305	7341
151	1311	7317
152	1318	7299
153	1324	7274
154	1331	7256
155	1336	7231
156	1343	7212
157	1349	7193
158	1356	7176
159	1364	7161
160	1371	7144
161	1377	7127
162	1384	7110
163	1391	7093
164	1397	7071
165	1403	7049
166	1409	7032
167	1416	7015
168	1422	6993
169	1429	6980
170	1435	6957
171	1443	6946
172	1448	6925
173	1455	6911
174	1462	6895
175	1470	6882
176	1475	6861
177	1482	6847
178	1489	6833
179	1496	6818
180	1505	6810
181	1513	6801
182	1521	6791
183	1528	6779
184	1535	6763
185	1543	6753
186	1548	6734
187	1555	6720
188	1561	6701
189	1568	6687
190	1575	6674
191	1583	6665
192	1591	6656
193	1601	6654
194	1610	6648
195	1619	6642
196	1627	6633
197	1635	6624
198	1643	6616
199	1649	6598
200	1655	6580
201	1662	6568
202	1668	6549
203	1674	6532
204	1679	6514
205	1685	6496
206	1691	6479
207	1696	6461
208	1702	6443
209	1708	6426
210	1713	6408
211	1719	6391
212	1726	6377
213	1733	6365
214	1738	6349
215	1744	6332
216	1750	6316
217	1756	6300
218	1762	6284
219	1768	6268
220	1773	6252
221	1779	6237
222	1785	6221
223	1791	6205
224	1797	6189
225	1802	6174
226	1809	6160
227	1815	6147
228	1821	6132
229	1827	6116
230	1833	6102
231	1839	6087
232	1844	6072
233	1850	6057
234	1858	6049
235	1865	6038
236	1872	6027
237	1883	6028
238	1889	6016
239	1896	6005
240	1902	5992
241	1909	5981
242	1915	5967
243	1921	5953
244	1927	5940
245	1933	5926
246	1939	5911
247	1944	5897
248	1950	5882
249	1956	5868
250	1961	5854
251	1968	5844
252	1975	5831
253	1981	5819
254	1987	5806
255	1993	5793
256	2000	5783
257	2006	5770
258	2012	5756
259	2017	5743
260	2025	5733
261	2030	5720
262	2037	5709
263	2043	5696
264	2049	5683
265	2056	5674
266	2062	5661
267	2068	5648
268	2074	5638
269	2081	5628
270	2088	5616
271	2094	5604
272	2099	5591
273	2105	5579
274	2111	5567
275	2117	5554
276	2123	5543
277	2129	5530
278	2136	5520
279	2144	5513
280	2154	5513
281	2164	5512
282	2175	5510
283	2181	5499
284	2188	5489
285	2193	5477
286	2200	5466
287	2207	5456
288	2212	5443
289	2219	5433
290	2225	5421
291	2230	5409
292	2236	5397
293	2243	5387
294	2249	5376
295	2255	5364
296	2261	5352
297	2267	5340
298	2272	5328
299	2278	5316
300	2284	5305
301	2290	5293
302	2297	5285
303	2303	5273
304	2309	5261
305	2315	5250
306	2320	5238
307	2326	5226
308	2332	5215
309	2337	5203
310	2343	5192
311	2349	5180
312	2355	5169
313	2360	5157
314	2366	5146
315	2372	5134
316	2377	5123
317	2383	5112
318	2389	5100
319	2395	5089
320	2400	5078
321	2406	5067
322	2412	5056
323	2417	5044
324	2423	5033
325	2429	5022
326	2435	5011
327	2440	5000
328	2446	4989
329	2452	4978
330	2457	4967
331	2463	4957
332	2469	4946
333	2475	4935
334	2481	4925
335	2488	4918
336	2496	4911
337	2537	4969
338	2605	5081
339	2618	5083
340	2631	5085
341	2645	5089
342	2656	5087
343	2671	5093
344	2681	5090
345	2688	5081
346	2696	5073
347	2702	5063
348	2708	5052
349	2715	5042
350	2721	5031
351	2727	5020
352	2732	5008
353	2738	4997
354	2744	4985
355	2749	4974
356	2755	4963
357	2761	4952
358	2767	4940
359	2773	4929
360	2778	4918
361	2784	4907
362	2791	4897
363	2797	4887
364	2803	4876
365	2809	4865
366	2814	4854
367	2820	4843
368	2826	4832
369	2831	4821
370	2837	4810
371	2843	4799
372	2848	4789
373	2854	4777
374	2860	4768
375	2868	4759
376	2874	4750
377	2881	4741
378	2888	4733
379	2896	4725
380	2902	4715
381	2909	4707
382	2916	4698
383	2923	4689
384	2930	4681
385	2937	4672
